iter	Passed	Remaining
0	144	144264
1	145	72487
2	146	48526
3	146	36563
4	147	29343
5	148	24566
6	149	21168
7	150	18626
8	150	16611
9	151	15034
10	152	13720
11	153	12636
12	154	11714
13	155	10927
14	155	10239
15	156	9636
16	157	9105
17	158	8635
18	159	8214
19	160	7840
20	161	7505
21	161	7199
22	162	6916
23	163	6659
24	164	6423
25	165	6205
26	166	6003
27	167	5816
28	168	5643
29	169	5478
30	170	5325
31	171	5183
32	172	5046
33	172	4914
34	173	4786
35	174	4669
36	175	4558
37	175	4451
38	176	4352
39	177	4257
40	178	4165
41	179	4084
42	179	4005
43	180	3931
44	181	3860
45	182	3791
46	183	3724
47	184	3660
48	185	3597
49	186	3536
50	186	3477
51	187	3421
52	188	3366
53	189	3315
54	190	3265
55	190	3219
56	192	3176
57	192	3132
58	193	3090
59	194	3048
60	195	3009
61	196	2970
62	197	2932
63	197	2895
64	198	2859
65	199	2824
66	200	2789
67	200	2754
68	201	2723
69	202	2692
70	203	2664
71	204	2636
72	205	2609
73	206	2582
74	207	2556
75	208	2532
76	209	2507
77	209	2481
78	210	2456
79	211	2432
80	212	2409
81	213	2385
82	213	2362
83	214	2341
84	215	2321
85	216	2304
86	217	2285
87	219	2270
88	220	2252
89	220	2234
90	221	2215
91	222	2196
92	223	2178
93	224	2160
94	224	2142
95	225	2124
96	226	2107
97	227	2092
98	228	2078
99	229	2065
100	230	2052
101	231	2037
102	232	2023
103	233	2010
104	234	1998
105	235	1985
106	236	1975
107	237	1963
108	238	1952
109	239	1941
110	241	1936
111	242	1925
112	243	1913
113	244	1902
114	245	1892
115	247	1883
116	248	1872
117	248	1861
118	250	1856
119	252	1848
120	253	1842
121	254	1833
122	255	1825
123	257	1818
124	258	1812
125	260	1804
126	261	1798
127	262	1789
128	263	1781
129	264	1772
130	266	1766
131	267	1759
132	268	1751
133	269	1743
134	271	1736
135	272	1730
136	273	1721
137	274	1713
138	275	1707
139	276	1699
140	277	1692
141	278	1685
142	280	1678
143	281	1670
144	282	1666
145	283	1659
146	284	1652
147	285	1645
148	286	1638
149	288	1632
150	289	1625
151	289	1617
152	291	1611
153	292	1604
154	292	1597
155	293	1590
156	295	1584
157	296	1578
158	297	1573
159	298	1568
160	299	1562
161	300	1556
162	301	1550
163	303	1544
164	304	1539
165	305	1533
166	306	1528
167	307	1522
168	308	1516
169	309	1511
170	310	1505
171	311	1500
172	312	1495
173	313	1489
174	314	1484
175	315	1478
176	316	1473
177	317	1467
178	318	1462
179	319	1456
180	320	1450
181	321	1444
182	322	1439
183	323	1433
184	324	1428
185	325	1423
186	326	1418
187	327	1413
188	328	1409
189	329	1405
190	331	1402
191	332	1398
192	333	1395
193	335	1391
194	336	1388
195	337	1385
196	338	1381
197	340	1378
198	342	1376
199	343	1373
200	344	1370
201	345	1366
202	347	1362
203	348	1360
204	350	1358
205	351	1354
206	352	1351
207	353	1346
208	354	1341
209	355	1336
210	356	1333
211	357	1328
212	358	1323
213	358	1318
214	359	1313
215	360	1307
216	361	1302
217	361	1297
218	362	1292
219	363	1288
220	364	1283
221	365	1280
222	366	1275
223	367	1272
224	368	1268
225	368	1263
226	369	1258
227	370	1254
228	371	1249
229	371	1244
230	372	1239
231	373	1235
232	373	1230
233	374	1226
234	375	1221
235	376	1217
236	376	1213
237	377	1208
238	378	1204
239	379	1200
240	380	1197
241	381	1193
242	382	1190
243	383	1187
244	384	1183
245	384	1179
246	385	1175
247	386	1170
248	386	1166
249	387	1163
250	388	1159
251	389	1156
252	390	1152
253	391	1148
254	391	1144
255	392	1141
256	393	1137
257	394	1133
258	394	1129
259	395	1126
260	396	1124
261	397	1120
262	398	1117
263	399	1114
264	400	1110
265	401	1106
266	401	1103
267	402	1099
268	403	1096
269	404	1092
270	404	1089
271	405	1085
272	406	1081
273	406	1078
274	407	1074
275	408	1071
276	409	1067
277	409	1064
278	410	1060
279	411	1058
280	412	1055
281	413	1052
282	414	1049
283	414	1046
284	415	1043
285	416	1039
286	417	1036
287	417	1033
288	418	1029
289	419	1026
290	420	1023
291	420	1020
292	421	1017
293	422	1013
294	422	1010
295	423	1007
296	424	1004
297	425	1001
298	425	998
299	426	995
300	427	993
301	428	991
302	429	988
303	430	986
304	431	983
305	432	980
306	433	977
307	433	974
308	434	971
309	435	969
310	436	966
311	436	963
312	437	960
313	438	958
314	439	955
315	440	953
316	441	950
317	442	948
318	443	946
319	444	944
320	445	941
321	446	939
322	446	936
323	447	934
324	448	931
325	449	928
326	450	926
327	450	923
328	451	921
329	452	919
330	453	917
331	454	915
332	455	912
333	456	910
334	457	908
335	458	906
336	459	903
337	460	901
338	461	898
339	462	896
340	463	894
341	463	892
342	464	889
343	465	887
344	466	885
345	466	882
346	468	881
347	469	879
348	470	877
349	472	876
350	473	874
351	473	872
352	474	870
353	475	867
354	476	866
355	477	864
356	478	862
357	479	860
358	480	858
359	481	856
360	482	854
361	483	852
362	484	850
363	485	848
364	486	845
365	487	843
366	488	841
367	488	839
368	489	837
369	490	835
370	491	833
371	492	831
372	493	830
373	494	828
374	495	826
375	496	824
376	497	822
377	498	820
378	499	818
379	500	816
380	500	813
381	501	811
382	502	810
383	503	808
384	504	806
385	505	804
386	506	802
387	507	800
388	508	798
389	509	796
390	510	794
391	511	792
392	512	790
393	512	788
394	513	786
395	514	784
396	515	782
397	515	780
398	516	778
399	517	775
400	518	774
401	519	772
402	519	770
403	520	768
404	521	766
405	522	764
406	523	762
407	524	760
408	525	759
409	526	757
410	527	755
411	527	753
412	528	751
413	529	749
414	530	747
415	531	745
416	532	743
417	532	742
418	533	740
419	534	738
420	535	736
421	536	734
422	536	732
423	537	730
424	538	728
425	539	726
426	540	724
427	541	723
428	542	721
429	542	719
430	543	717
431	544	715
432	545	714
433	546	712
434	547	710
435	547	708
436	548	706
437	549	705
438	550	703
439	551	701
440	551	699
441	552	697
442	553	696
443	554	694
444	555	692
445	556	690
446	557	689
447	557	687
448	558	685
449	559	684
450	560	682
451	561	680
452	562	679
453	563	677
454	564	675
455	565	674
456	565	672
457	566	670
458	567	668
459	568	667
460	569	665
461	569	663
462	570	661
463	571	660
464	572	658
465	573	656
466	574	655
467	575	653
468	575	651
469	576	650
470	577	648
471	578	646
472	579	645
473	579	643
474	580	641
475	581	640
476	582	638
477	583	637
478	584	635
479	585	633
480	585	632
481	586	630
482	587	628
483	588	627
484	589	625
485	589	623
486	590	622
487	591	620
488	592	619
489	593	617
490	594	616
491	595	614
492	596	613
493	596	611
494	597	609
495	598	608
496	599	606
497	600	604
498	601	603
499	601	601
500	602	600
501	603	598
502	604	597
503	605	595
504	605	593
505	606	592
506	607	590
507	608	589
508	609	587
509	610	586
510	611	584
511	611	583
512	612	581
513	613	580
514	614	578
515	615	576
516	615	575
517	616	573
518	617	572
519	618	570
520	619	569
521	620	567
522	620	566
523	621	564
524	622	563
525	623	561
526	624	560
527	624	558
528	625	557
529	626	555
530	627	554
531	628	552
532	629	551
533	630	549
534	631	548
535	631	547
536	632	545
537	633	544
538	634	542
539	635	541
540	636	539
541	637	538
542	637	536
543	638	535
544	639	534
545	640	532
546	641	531
547	642	530
548	643	528
549	644	527
550	645	525
551	646	524
552	647	523
553	648	521
554	649	520
555	649	519
556	650	517
557	651	516
558	652	514
559	653	513
560	654	512
561	655	511
562	656	509
563	657	508
564	658	507
565	659	505
566	660	504
567	661	503
568	662	501
569	663	500
570	664	499
571	665	497
572	666	496
573	667	495
574	668	493
575	668	492
576	669	491
577	670	489
578	672	488
579	673	487
580	674	486
581	675	485
582	676	484
583	677	482
584	678	481
585	679	480
586	680	478
587	681	477
588	682	476
589	683	474
590	684	473
591	685	472
592	686	470
593	686	469
594	688	468
595	689	467
596	690	465
597	691	464
598	692	463
599	693	462
600	694	460
601	694	459
602	695	458
603	696	456
604	697	455
605	698	454
606	699	452
607	700	451
608	700	450
609	701	448
610	702	447
611	703	446
612	704	444
613	705	443
614	707	442
615	708	441
616	709	440
617	710	439
618	711	437
619	712	436
620	712	435
621	713	433
622	714	432
623	715	431
624	716	429
625	716	428
626	717	426
627	718	425
628	719	424
629	720	423
630	721	421
631	722	420
632	723	419
633	724	418
634	725	416
635	726	415
636	726	414
637	727	412
638	728	411
639	729	410
640	729	408
641	730	407
642	731	406
643	732	404
644	733	403
645	734	402
646	734	400
647	735	399
648	736	398
649	737	397
650	738	396
651	739	394
652	740	393
653	741	392
654	742	391
655	743	389
656	744	388
657	744	387
658	745	385
659	746	384
660	747	383
661	747	381
662	748	380
663	749	379
664	750	377
665	751	376
666	752	375
667	753	374
668	754	373
669	755	371
670	755	370
671	756	369
672	757	368
673	758	366
674	759	365
675	760	364
676	760	363
677	761	361
678	762	360
679	763	359
680	764	357
681	765	356
682	765	355
683	766	354
684	767	352
685	768	351
686	769	350
687	770	349
688	771	348
689	772	346
690	773	345
691	773	344
692	774	343
693	775	342
694	776	340
695	777	339
696	778	338
697	778	337
698	779	335
699	780	334
700	781	333
701	782	331
702	782	330
703	783	329
704	784	328
705	785	327
706	787	326
707	787	324
708	788	323
709	789	322
710	790	321
711	791	320
712	792	318
713	793	317
714	793	316
715	794	315
716	795	313
717	796	312
718	796	311
719	797	310
720	798	308
721	799	307
722	800	306
723	801	305
724	802	304
725	803	303
726	804	301
727	805	300
728	805	299
729	806	298
730	807	297
731	808	295
732	809	294
733	810	293
734	810	292
735	811	291
736	812	289
737	813	288
738	814	287
739	814	286
740	815	285
741	816	283
742	817	282
743	818	281
744	819	280
745	820	279
746	821	278
747	822	277
748	823	275
749	824	274
750	824	273
751	825	272
752	826	271
753	827	270
754	828	268
755	829	267
756	830	266
757	831	265
758	831	264
759	832	263
760	834	261
761	835	260
762	836	259
763	837	258
764	838	257
765	839	256
766	840	255
767	841	254
768	842	253
769	843	252
770	844	250
771	845	249
772	846	248
773	847	247
774	848	246
775	849	245
776	851	244
777	852	243
778	853	242
779	854	240
780	855	239
781	856	238
782	857	237
783	858	236
784	859	235
785	860	234
786	861	233
787	862	232
788	863	230
789	864	229
790	865	228
791	866	227
792	867	226
793	868	225
794	869	224
795	870	223
796	871	222
797	872	220
798	873	219
799	874	218
800	875	217
801	876	216
802	877	215
803	878	214
804	879	213
805	880	211
806	881	210
807	882	209
808	883	208
809	884	207
810	885	206
811	886	205
812	887	204
813	888	203
814	889	202
815	890	200
816	891	199
817	892	198
818	894	197
819	895	196
820	896	195
821	897	194
822	898	193
823	899	192
824	901	191
825	902	190
826	904	189
827	905	188
828	907	187
829	908	186
830	910	185
831	911	184
832	912	182
833	913	181
834	915	180
835	916	179
836	917	178
837	918	177
838	919	176
839	920	175
840	920	174
841	921	172
842	922	171
843	923	170
844	924	169
845	925	168
846	925	167
847	926	166
848	927	164
849	928	163
850	929	162
851	930	161
852	931	160
853	932	159
854	933	158
855	933	157
856	934	155
857	935	154
858	935	153
859	936	152
860	937	151
861	938	150
862	938	149
863	939	147
864	940	146
865	941	145
866	942	144
867	942	143
868	943	142
869	944	141
870	945	139
871	945	138
872	946	137
873	947	136
874	948	135
875	948	134
876	949	133
877	950	132
878	951	130
879	951	129
880	952	128
881	953	127
882	953	126
883	954	125
884	955	124
885	955	123
886	956	121
887	957	120
888	958	119
889	958	118
890	959	117
891	960	116
892	961	115
893	961	114
894	962	112
895	963	111
896	964	110
897	964	109
898	965	108
899	966	107
900	966	106
901	967	105
902	968	104
903	968	102
904	969	101
905	970	100
906	970	99
907	971	98
908	972	97
909	973	96
910	974	95
911	974	94
912	975	92
913	976	91
914	976	90
915	977	89
916	978	88
917	979	87
918	979	86
919	980	85
920	981	84
921	981	83
922	982	81
923	983	80
924	984	79
925	984	78
926	985	77
927	986	76
928	986	75
929	987	74
930	988	73
931	988	72
932	989	71
933	990	69
934	991	68
935	991	67
936	992	66
937	993	65
938	993	64
939	994	63
940	995	62
941	996	61
942	997	60
943	997	59
944	998	58
945	999	57
946	999	55
947	1001	54
948	1002	53
949	1002	52
950	1003	51
951	1004	50
952	1005	49
953	1005	48
954	1006	47
955	1007	46
956	1007	45
